# min,multiples of profile,number,multiples of profile,multiples of profile,multiples of profile
Time,Generic,Adult,Smoking ,GasCooking.Persily1998,Incense.Manoukian2013
0,1,0,0,0,0
60,1,0,0,0,0
120,1,0,0,0,0
180,1,0,0,0,0
181,1,0,0,0,0
240,1,0,0,0,0
300,1,0,0,0,0
360,1,0,0,0,0
420,1,0,0,0,0
480,1,0,0,0,0
540,1,0,0,0,0
600,1,0,0,0,0
660,1,0,0,0,0
720,1,0,0,0,0
780,1,0,0,0,0
840,1,0,0,0,0
900,1,0,0,0,0
960,1,0,0,0,0
1020,1,0,0,0,0
1080,1,0,0,0,0
1140,1,0,0,0,0
1200,1,0,0,0,0
1260,1,0,0,0,0
1320,1,0,0,0,0
1350,1,0,0,0,0
1351,1,0,0,0,0
1380,1,0,0,0,0
1440,1,0,0,0,0
2880,1,0,0,0,0
