# min,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,,,,,
Time,H2SO4,HCOOH,CCO_OH,RCO_OH,CCO_OOH,XN,XC,RCO_OOH,SO2,O1D,ALK1,BACL,PAN,PAN2,PBZN,MA_PAN,H2O2,N2O5,HONO,ALK2,ALK3,TBU_O,ALK5,ARO2,HNO4,COOH,HOCOO,BZNO2_O,MEOH,ALK4,ARO1,DCB2,DCB3,CRES,PHEN,DCB1,NPHE,ROOH,BALD,CO,MGLY,ACET,HNO3,ETHENE,GLY,BZ_O,ISOPRENE,R2O2,TERP,METHACRO,OLE1,ISOPROD,OLE2,MVK,CCHO,HCHO,RNO3,O3P,RCHO,MEK,PROD2,O3,HO2,MA_RCO3,C_O2,BZCO_O2,NO,NO2,NO3,CCO_O2,RCO_O2,OH,RO2_R,RO2_N,,,,,
Uncertainty,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,0.00E+00,0.00E+00,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,5.00E-02,,,,,
0,1.93E-06,8.03E-05,5.45E-05,6.76E-05,2.07E-05,0.00E+00,0.00E+00,3.62E-05,7.14E-04,8.14E-17,8.84E-04,5.43E-06,2.71E-04,1.89E-04,5.98E-07,4.56E-05,1.10E-03,2.77E-06,9.98E-05,6.92E-04,2.40E-03,6.31E-13,7.11E-04,3.85E-04,2.72E-06,3.76E-04,0.00E+00,0.00E+00,2.17E-03,1.01E-03,3.89E-04,2.53E-06,7.67E-06,3.38E-06,3.38E-06,2.07E-06,3.33E-06,7.30E-05,7.59E-06,0.207676,4.18E-05,1.72E-03,8.21E-04,5.63E-04,3.16E-05,1.48E-10,1.19E-04,0.00E+00,1.44E-05,5.30E-05,3.29E-04,4.38E-05,1.84E-04,8.59E-05,7.27E-04,2.04E-03,2.69E-04,5.76E-10,3.53E-04,9.73E-04,3.07E-04,4.40E-02,1.44E-06,9.80E-09,4.16E-07,1.25E-10,1.30E-03,1.21E-02,6.47E-07,9.93E-08,4.66E-08,5.47E-08,6.14E-07,5.72E-08,,,,,
60,1.93E-06,8.03E-05,5.45E-05,6.76E-05,2.07E-05,0.00E+00,0.00E+00,3.62E-05,7.14E-04,8.14E-17,8.84E-04,5.43E-06,2.71E-04,1.89E-04,5.98E-07,4.56E-05,1.10E-03,2.77E-06,9.98E-05,6.92E-04,2.40E-03,6.31E-13,7.11E-04,3.85E-04,2.72E-06,3.76E-04,0.00E+00,0.00E+00,2.17E-03,1.01E-03,3.89E-04,2.53E-06,7.67E-06,3.38E-06,3.38E-06,2.07E-06,3.33E-06,7.30E-05,7.59E-06,0.207676,4.18E-05,1.72E-03,8.21E-04,5.63E-04,3.16E-05,1.48E-10,1.19E-04,0.00E+00,1.44E-05,5.30E-05,3.29E-04,4.38E-05,1.84E-04,8.59E-05,7.27E-04,2.04E-03,2.69E-04,5.76E-10,3.53E-04,9.73E-04,3.07E-04,4.40E-02,1.44E-06,9.80E-09,4.16E-07,1.25E-10,1.30E-03,1.21E-02,6.47E-07,9.93E-08,4.66E-08,5.47E-08,6.14E-07,5.72E-08,,,,,
120,1.93E-06,8.03E-05,5.45E-05,6.76E-05,2.07E-05,0.00E+00,0.00E+00,3.62E-05,7.14E-04,8.14E-17,8.84E-04,5.43E-06,2.71E-04,1.89E-04,5.98E-07,4.56E-05,1.10E-03,2.77E-06,9.98E-05,6.92E-04,2.40E-03,6.31E-13,7.11E-04,3.85E-04,2.72E-06,3.76E-04,0.00E+00,0.00E+00,2.17E-03,1.01E-03,3.89E-04,2.53E-06,7.67E-06,3.38E-06,3.38E-06,2.07E-06,3.33E-06,7.30E-05,7.59E-06,0.207676,4.18E-05,1.72E-03,8.21E-04,5.63E-04,3.16E-05,1.48E-10,1.19E-04,0.00E+00,1.44E-05,5.30E-05,3.29E-04,4.38E-05,1.84E-04,8.59E-05,7.27E-04,2.04E-03,2.69E-04,5.76E-10,3.53E-04,9.73E-04,3.07E-04,4.40E-02,1.44E-06,9.80E-09,4.16E-07,1.25E-10,1.30E-03,1.21E-02,6.47E-07,9.93E-08,4.66E-08,5.47E-08,6.14E-07,5.72E-08,,,,,
180,1.93E-06,8.03E-05,5.45E-05,6.76E-05,2.07E-05,0.00E+00,0.00E+00,3.62E-05,7.14E-04,8.14E-17,8.84E-04,5.43E-06,2.71E-04,1.89E-04,5.98E-07,4.56E-05,1.10E-03,2.77E-06,9.98E-05,6.92E-04,2.40E-03,6.31E-13,7.11E-04,3.85E-04,2.72E-06,3.76E-04,0.00E+00,0.00E+00,2.17E-03,1.01E-03,3.89E-04,2.53E-06,7.67E-06,3.38E-06,3.38E-06,2.07E-06,3.33E-06,7.30E-05,7.59E-06,0.207676,4.18E-05,1.72E-03,8.21E-04,5.63E-04,3.16E-05,1.48E-10,1.19E-04,0.00E+00,1.44E-05,5.30E-05,3.29E-04,4.38E-05,1.84E-04,8.59E-05,7.27E-04,2.04E-03,2.69E-04,5.76E-10,3.53E-04,9.73E-04,3.07E-04,4.40E-02,1.44E-06,9.80E-09,4.16E-07,1.25E-10,1.30E-03,1.21E-02,6.47E-07,9.93E-08,4.66E-08,5.47E-08,6.14E-07,5.72E-08,,,,,
240,1.93E-06,8.03E-05,5.45E-05,6.76E-05,2.07E-05,0.00E+00,0.00E+00,3.62E-05,7.14E-04,8.14E-17,8.84E-04,5.43E-06,2.71E-04,1.89E-04,5.98E-07,4.56E-05,1.10E-03,2.77E-06,9.98E-05,6.92E-04,2.40E-03,6.31E-13,7.11E-04,3.85E-04,2.72E-06,3.76E-04,0.00E+00,0.00E+00,2.17E-03,1.01E-03,3.89E-04,2.53E-06,7.67E-06,3.38E-06,3.38E-06,2.07E-06,3.33E-06,7.30E-05,7.59E-06,0.207676,4.18E-05,1.72E-03,8.21E-04,5.63E-04,3.16E-05,1.48E-10,1.19E-04,0.00E+00,1.44E-05,5.30E-05,3.29E-04,4.38E-05,1.84E-04,8.59E-05,7.27E-04,2.04E-03,2.69E-04,5.76E-10,3.53E-04,9.73E-04,3.07E-04,4.40E-02,1.44E-06,9.80E-09,4.16E-07,1.25E-10,1.30E-03,1.21E-02,6.47E-07,9.93E-08,4.66E-08,5.47E-08,6.14E-07,5.72E-08,,,,,
300,6.04E-07,7.60E-05,5.08E-05,6.69E-05,2.02E-05,0.00E+00,0.00E+00,3.60E-05,8.63E-04,6.10E-18,9.46E-04,4.44E-06,2.21E-04,1.59E-04,4.23E-07,3.74E-05,9.07E-04,2.67E-05,1.83E-04,8.48E-04,3.14E-03,1.23E-13,9.93E-04,5.33E-04,2.88E-06,3.83E-04,0.00E+00,0.00E+00,2.25E-03,1.31E-03,5.16E-04,2.61E-06,5.86E-06,2.40E-06,2.40E-06,2.14E-06,5.70E-06,8.95E-05,9.55E-06,0.234552,3.75E-05,1.85E-03,5.83E-04,7.76E-04,3.10E-05,3.36E-10,7.31E-05,0.00E+00,1.81E-05,5.73E-05,5.11E-04,4.88E-05,2.50E-04,8.72E-05,7.11E-04,1.94E-03,2.52E-04,1.04E-10,3.63E-04,1.01E-03,3.24E-04,3.49E-02,9.19E-07,5.04E-09,5.84E-07,4.91E-11,3.41E-04,1.74E-02,4.29E-06,5.13E-08,2.50E-08,9.50E-09,3.10E-06,4.61E-07,,,,,
360,2.80E-07,7.70E-05,5.16E-05,7.18E-05,1.94E-05,0.00E+00,0.00E+00,3.50E-05,1.25E-03,1.00E-30,1.10E-03,4.89E-06,1.82E-04,1.34E-04,3.29E-07,3.12E-05,6.64E-04,2.73E-05,4.59E-04,1.20E-03,4.79E-03,5.43E-14,1.62E-03,8.66E-04,2.39E-06,3.78E-04,0.00E+00,0.00E+00,2.57E-03,2.00E-03,8.14E-04,3.80E-06,5.62E-06,2.67E-06,2.67E-06,3.11E-06,8.92E-06,1.05E-04,1.46E-05,0.299063,3.96E-05,2.15E-03,4.13E-04,1.25E-03,3.65E-05,1.89E-10,6.09E-05,0.00E+00,2.49E-05,6.89E-05,9.04E-04,7.02E-05,3.82E-04,9.41E-05,7.63E-04,2.10E-03,2.59E-04,1.00E-30,4.13E-04,1.11E-03,3.63E-04,2.26E-02,4.87E-07,2.46E-09,3.70E-07,1.86E-11,1.47E-03,2.67E-02,3.17E-06,2.33E-08,1.17E-08,2.44E-09,1.96E-06,2.90E-07,,,,,
420,2.15E-07,7.69E-05,4.82E-05,7.10E-05,1.84E-05,0.00E+00,0.00E+00,3.36E-05,1.26E-03,1.00E-30,1.15E-03,5.23E-06,1.54E-04,1.19E-04,2.79E-07,2.79E-05,5.53E-04,2.24E-05,6.07E-04,1.30E-03,5.24E-03,7.20E-14,1.79E-03,9.44E-04,1.99E-06,3.69E-04,0.00E+00,0.00E+00,2.53E-03,2.14E-03,8.97E-04,4.29E-06,5.49E-06,3.08E-06,3.08E-06,3.51E-06,8.92E-06,1.21E-04,1.62E-05,0.303173,4.03E-05,2.25E-03,3.43E-04,1.46E-03,3.64E-05,1.32E-10,6.61E-05,0.00E+00,2.76E-05,7.81E-05,1.13E-03,8.39E-05,4.11E-04,1.01E-04,7.58E-04,2.07E-03,2.60E-04,1.00E-30,4.22E-04,1.15E-03,3.89E-04,1.94E-02,3.75E-07,2.06E-09,2.62E-07,1.25E-11,3.30E-03,2.70E-02,2.34E-06,1.68E-08,8.65E-09,2.27E-09,1.33E-06,1.95E-07,,,,,
480,2.13E-07,7.67E-05,4.53E-05,6.98E-05,1.79E-05,0.00E+00,0.00E+00,3.28E-05,1.14E-03,1.00E-30,1.12E-03,5.13E-06,1.44E-04,1.14E-04,2.63E-07,2.79E-05,5.07E-04,1.98E-05,5.86E-04,1.19E-03,4.69E-03,6.77E-14,1.59E-03,8.08E-04,1.89E-06,3.61E-04,0.00E+00,0.00E+00,2.34E-03,1.89E-03,7.99E-04,3.88E-06,4.76E-06,2.59E-06,2.59E-06,3.17E-06,7.66E-06,1.32E-04,1.50E-05,0.264094,4.00E-05,2.17E-03,3.09E-04,1.43E-03,3.36E-05,1.23E-10,7.49E-05,0.00E+00,2.44E-05,8.42E-05,1.16E-03,8.98E-05,3.67E-04,1.07E-04,7.06E-04,1.99E-03,2.55E-04,1.00E-30,4.12E-04,1.12E-03,3.96E-04,2.09E-02,3.97E-07,2.29E-09,2.77E-07,1.36E-11,2.74E-03,2.32E-02,2.33E-06,1.80E-08,9.79E-09,2.19E-09,1.37E-06,1.96E-07,,,,,
