# min,Kelvin,Kelvin,m2,m3/s,m3/s,"[0,1]"," [0,1] ",Pascal,m/s
Time,Ti,To,OpenWindowArea,QBal,QUnbal,RH, SunFactor ,BP,Wind
0,295.15,302.923,0,0,0,0.5,1.69E-05,101325,3.84601
60,295.15,302.923,0,0,0,0.5,1.69E-05,101325,3.84601
120,295.15,302.923,0,0,0,0.5,1.69E-05,101325,3.84601
180,295.15,302.923,0,0,0,0.5,1.69E-05,101325,3.84601
240,295.15,302.923,0,0,0,0.5,1.69E-05,101325,3.84601
300,295.15,301.931,0,0,0,0.5,2.48E-18,101325,3.30393
360,295.15,300.447,0,0,0,0.5,2.48E-18,101325,2.54902
420,295.15,299.385,0,0,0,0.5,2.48E-18,101325,2.56626
480,295.15,298.296,0,0,0,0.5,2.48E-18,101325,2.58525
540,295.15,297.354,0,0,0,0.5,2.48E-18,101325,2.94139
600,295.15,296.476,0,0,0,0.5,2.48E-18,101325,2.7493
660,295.15,295.848,0,0,0,0.5,2.48E-18,101325,2.69826
720,295.15,295.372,0,0,0,0.5,2.48E-18,101325,2.49074
780,295.15,295.013,0,0,0,0.5,2.48E-18,101325,2.34025
840,295.15,294.715,0,0,0,0.5,2.48E-18,101325,2.28474
900,295.15,294.37,0,0,0,0.5,2.02E-05,101325,2.44311
960,295.15,294.413,0,0,0,0.5,0.00023598,101325,2.58175
1020,295.15,295.041,0,0,0,0.5,0.001114144,101325,2.65529
1080,295.15,296.082,0,0,0,0.5,0.003126551,101325,2.63241
1140,295.15,297.622,0,0,0,0.5,0.006004963,101325,2.82032
1200,295.15,298.936,0,0,0,0.5,0.008585608,101325,2.99824
1260,295.15,300.298,0,0,0,0.5,0.01,101325,3.21212
1320,295.15,301.587,0,0,0,0.5,0.009379653,101325,3.46844
1380,295.15,302.611,0,0,0,0.5,0.007791563,101325,3.64372
1440,295.15,303.096,0,0,0,0.5,0.005235732,101325,3.77573
1500,295.15,303.451,0,0,0,0.5,0.003027295,101325,3.84601
1560,295.15,303.369,0,0,0,0.5,0.001248139,101325,3.84601
1620,295.15,302.966,0,0,0,0.5,0.000307692,101325,3.84601
1680,295.15,302.923,0,0,0,0.5,1.69E-05,101325,3.84601
1740,295.15,301.931,0,0,0,0.5,2.48E-18,101325,3.84601
1800,295.15,300.447,0,0,0,0.5,2.48E-18,101325,3.30393
1860,295.15,299.385,0,0,0,0.5,2.48E-18,101325,2.54902
1920,295.15,298.296,0,0,0,0.5,2.48E-18,101325,2.56626
1980,295.15,297.354,0,0,0,0.5,2.48E-18,101325,2.58525
2040,295.15,296.476,0,0,0,0.5,2.48E-18,101325,2.94139
2100,295.15,295.848,0,0,0,0.5,2.48E-18,101325,2.7493
2160,295.15,295.372,0,0,0,0.5,2.48E-18,101325,2.69826
2220,295.15,295.013,0,0,0,0.5,2.48E-18,101325,2.49074
2280,295.15,294.715,0,0,0,0.5,2.48E-18,101325,2.34025
2340,295.15,294.37,0,0,0,0.5,2.02E-05,101325,2.28474
2400,295.15,294.413,0,0,0,0.5,0.00023598,101325,2.44311
2460,295.15,295.041,0,0,0,0.5,0.001114144,101325,2.58175
2520,295.15,296.082,0,0,0,0.5,0.003126551,101325,2.65529
2580,295.15,297.622,0,0,0,0.5,0.006004963,101325,2.63241
2640,295.15,298.936,0,0,0,0.5,0.008585608,101325,2.82032
2700,295.15,300.298,0,0,0,0.5,0.01,101325,2.99824
2760,295.15,301.587,0,0,0,0.5,0.009379653,101325,3.21212
2820,295.15,302.611,0,0,0,0.5,0.007791563,101325,3.46844
2880,295.15,303.096,0,0,0,0.5,0.005235732,101325,3.64372
2940,295.15,303.451,0,0,0,0.5,0.003027295,101325,3.77573
3000,295.15,303.369,0,0,0,0.5,0.001248139,101325,3.84601
3060,295.15,302.966,0,0,0,0.5,0.000307692,101325,3.84601
3120,295.15,302.923,0,0,0,0.5,1.69E-05,101325,3.84601
3180,295.15,302.923,0,0,0,0.5,2.48E-18,101325,3.84601
3240,295.15,302.923,0,0,0,0.5,2.48E-18,101325,3.84601
3300,295.15,302.923,0,0,0,0.5,2.48E-18,101325,3.30393
3360,295.15,302.923,0,0,0,0.5,2.48E-18,101325,2.54902
3420,295.15,301.931,0,0,0,0.5,2.48E-18,101325,2.56626
3480,295.15,300.447,0,0,0,0.5,2.48E-18,101325,2.58525
3540,295.15,299.385,0,0,0,0.5,2.48E-18,101325,2.94139
3600,295.15,298.296,0,0,0,0.5,2.48E-18,101325,2.7493
3660,295.15,297.354,0,0,0,0.5,2.48E-18,101325,2.69826
3720,295.15,296.476,0,0,0,0.5,2.48E-18,101325,2.49074
3780,295.15,295.848,0,0,0,0.5,2.02E-05,101325,2.34025
3840,295.15,295.372,0,0,0,0.5,0.00023598,101325,2.28474
3900,295.15,295.013,0,0,0,0.5,0.001114144,101325,2.44311
3960,295.15,294.715,0,0,0,0.5,0.003126551,101325,2.58175
4020,295.15,294.37,0,0,0,0.5,0.006004963,101325,2.65529
4080,295.15,294.413,0,0,0,0.5,0.008585608,101325,2.63241
4140,295.15,295.041,0,0,0,0.5,0.01,101325,2.82032
4200,295.15,296.082,0,0,0,0.5,0.009379653,101325,2.99824
4260,295.15,297.622,0,0,0,0.5,0.007791563,101325,3.21212
4320,295.15,298.936,0,0,0,0.5,0.005235732,101325,3.46844
4380,295.15,300.298,0,0,0,0.5,0.003027295,101325,3.64372
4440,295.15,301.587,0,0,0,0.5,0.001248139,101325,3.77573
4500,295.15,302.611,0,0,0,0.5,0.000307692,101325,3.77573
